model,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda,tree_method,device,eval_metric,objective,metric,verbosity,boosting_type,device_type,num_leaves,min_child_samples,iterations,depth,l2_leaf_reg,bagging_temperature,border_count,verbose,random_state,task_type,od_type,od_wait
LightGBM,0.8861810524062863,205.0,10.0,0.09451841062340703,0.7345066762376281,0.9155531432590935,,,1.5349435689276822,0.7004350517107302,,,,binary,auc,-1.0,gbdt,gpu,42.0,18.0,,,,,,,,,,
LightGBM,0.884843377361952,205.0,12.0,0.15020060876984362,0.9995923052381476,0.9537311264610402,,,2.492740971745417,0.38936646033121847,,,,binary,auc,-1.0,gbdt,gpu,20.0,23.0,,,,,,,,,,
LightGBM,0.8882124075093255,318.0,8.0,0.06115621026409844,0.6691460175256964,0.8391645691986556,,,0.9118996830239645,1.0431604514027184,,,,binary,auc,-1.0,gbdt,gpu,57.0,16.0,,,,,,,,,,
LightGBM,0.8856230508163639,412.0,10.0,0.08961412596813616,0.6032651416782465,0.8770799416337898,,,4.974111995766682,1.7922679047157801,,,,binary,auc,-1.0,gbdt,gpu,81.0,32.0,,,,,,,,,,
LightGBM,0.8870772946859903,160.0,5.0,0.17568264851089646,0.7187800558017389,0.7805183264111129,,,2.963404572005895,3.531365860301835,,,,binary,auc,-1.0,gbdt,gpu,69.0,59.0,,,,,,,,,,
LightGBM,0.8891621567908029,249.0,4.0,0.11582375925616807,0.6457302470675782,0.9562931662084738,,,1.6332643946265961,0.4913548435472238,,,,binary,auc,-1.0,gbdt,gpu,44.0,48.0,,,,,,,,,,
LightGBM,0.8893360545465664,280.0,4.0,0.08018438064664042,0.6316774677386836,0.9009776954822585,,,0.06462699480149192,2.4963234306376143,,,,binary,auc,-1.0,gbdt,gpu,136.0,48.0,,,,,,,,,,
LightGBM,0.8839471350822479,278.0,3.0,0.037723982145132826,0.647762950529413,0.6125392667747699,,,0.2252783773862452,2.7503408853302598,,,,binary,auc,-1.0,gbdt,gpu,137.0,73.0,,,,,,,,,,
CatBoost,0.8850077202959702,,,0.02427317821487375,,,,,,,,,AUC,,,,,,,,443.0,4.0,1.2760990380416792,0.8597083890391739,173.0,0.0,42.0,CPU,Iter,30.0
CatBoost,0.886129456368862,,,0.09526930220040082,,,,,,,,,AUC,,,,,,,,940.0,7.0,4.648505517326263,0.36881783205624186,99.0,0.0,42.0,CPU,Iter,30.0
CatBoost,0.887763330887299,,,0.14640302311049636,,,,,,,,,AUC,,,,,,,,447.0,5.0,7.0585115442374695,0.9604565225364752,199.0,0.0,42.0,CPU,Iter,30.0
CatBoost,0.8840426832997004,,,0.18872282345067215,,,,,,,,,AUC,,,,,,,,219.0,5.0,3.7116539998057325,0.646053802182772,232.0,0.0,42.0,CPU,Iter,30.0
CatBoost,0.8861237234758148,,,0.1832353774295338,,,,,,,,,AUC,,,,,,,,956.0,3.0,8.23502980217194,0.7543073966350853,116.0,0.0,42.0,CPU,Iter,30.0
